UID          PID    PPID  C STIME TTY          TIME CMD
do          5457    5070  0 12m23 ?      00:00:06 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
do          5460    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
do          5465    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
do          5468    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
do          5469    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
do          5496    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
do          5513    5070  0 12m23 ?      00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
do          5528    5070  0 12m23 ?      00:00:00 /usr/lib/evolution/evolution-source-registry
do          5558    5389  0 12m23 ?      00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
do          5562    5389  0 12m23 ?      00:00:01 nm-applet
do          5563    5389  0 12m23 ?      00:00:00 nautilus -n
do          5570    5389  0 12m23 ?      00:00:22 /usr/bin/gnome-software --gapplication-service
do          5573    5389  0 12m23 ?      00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
root        5580       2  0 12m23 ?      00:00:00 [kworker/23:1H]
do          5609    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root        5612       1  0 12m23 ?      00:00:00 /usr/lib/udisks2/udisksd --no-debug
do          5623    5070  0 12m23 ?      00:00:00 /usr/lib/evolution/evolution-calendar-factory
do          5627    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
do          5632    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
do          5640    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
root        5643       1  0 12m23 ?      00:00:01 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
do          5648    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
do          5661    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
do          5677    5623  0 12m23 ?      00:00:01 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx5623x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/5623/2
do          5688    5070  0 12m23 ?      00:00:00 /usr/lib/evolution/evolution-addressbook-factory
